Building,Room Number,Capacity,Room Type,Seating Style,Table Style,shared tables,Board Type,Projector?
Broadway,206,25,seminar,Movable Chairs,movable tables,1,chalkboard,
Carman,111,24,seminar,movable chairs,movable tables,1,chalkboard,
chandler ,401,36,classroom,fixed chairs,fixed tables,7,chalkboard,
chandler,402,126,lecture hall,fixed chairs,fixed tables,20,chalkboard,
claremont,c01,25,classroom,movable chairs,moveable tablets,0,chalkboard,
claremont,201,24,classroom,moveable chairs,moveable tablets,0,chalkboard,
engineering_terrace,252,22,computer lab,moveable chairs,fixed tables,0,chalkboard,
engineering_terrace,253,28,seminar,moveable chairs,moveable tablets,0,chalkboard,
fayerweather,203,15,seminar,moveable chairs,moveable tables,5,chalkboard,
fayerweather,209,54,classroom,moveable chairs,moveable tables,18,whiteboard,
fayerweather,301m,39,seminar,moveable chairs,moveable tables,1,chalkboard,
fayerweather,302,30,seminar,moveable chairs,moveable tables,1,chalkboard,
fayerweather,310,96,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
fayerweather,311,25,seminar,moveable chairs,moveable tables,1,chalkboard,
fayerweather,313,78,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
iab,417,400,auditorium,fixed chairs,n/a,0,chalkboard,
iab,1102,25,seminar,moveable chairs,moveable tables,1,chalkboard,
iab,253,30,seminar,moveable chairs,moveable tables,4,whiteboard,
iab,254,19,seminar,moveable chairs,moveable tables,8,whiteboard,
iab,255,25,classroom,moveable chairs,moveable tablets,0,whiteboard,
iab,324,35,seminar,moveable chairs,moveable tables,8,chalkboard,
iab,326,13,classroom,moveable chairs,moveable tables,1,chalkboard,no
iab,402,25,seminar,moveable chairs,moveable tablets,2,chalkboard,
iab,402b,25,seminar,moveable chairs,moveable tables,2,chalkboard,
iab,403,80,lecture hall,fixed chairs,fixed tables,16,chalkboard,
iab,404,61,lecture hall,fixed chairs,fixed tables,14,chalkboard,
iab,405,54,lecture hall,fixed chairs,fixed tables,12,chalkboard,
iab,405a,20,seminar,moveable chairs,moveable tables,2,chalkboard,
iab,407,64,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
iab,409,35,seminar,moveable chairs,moveable tables,6,chalkboard,
iab,410,69,lecture hall,fixed chairs,fixed tables,7,chalkboard,
iab,411,67,lecture hall,fixed chairs,fixed tables,16,chalkboard,
iab,413,67,lecture hall,fixed chairs,fixed tables,12,chalkboard,
iab,418,30,seminar,moveable chairs,moveable tables,2,chalkboard,
iab,501,18,seminar,moveable chairs,moveable tables,2,chalkboard,
iab,501a,26,seminar,moveable chairs,moveable tables,2,chalkboard,
iab,501b,26,seminar,moveable chairs,moveable tables,2,chalkboard,
hamilton,301,23,seminar,moveable chairs,moveable tables,1,chalkboard,
hamilton,302,27,seminar,moveable chairs,moveable tables,1,chalkboard,
hamilton,303,42,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,304,42,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,306,23,seminar,moveable chairs,moveable tables,4,chalkboard,
hamilton,309,23,seminar,moveable chairs,moveable tables,4,chalkboard,
hamilton,313,22,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,315,22,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,316,23,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,317,20,seminar,moveable chairs,moveable tables,2,chalkboard,
hamilton,318,25,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,401,21,seminar,moveable chairs,moveable tables,2,chalkboard,
hamilton,402,23,seminar,moveable chairs,moveable tables,2,chalkboard,
hamilton,404,10,seminar,moveable chairs,moveable tables,1,chalkboard,
hamilton,406,11,seminar,moveable chairs,moveable tables,2,chalkboard,
hamilton,407,24,classroom,moveable chairs,moveable tablets,0,chalkboard,No
hamilton,408,11,seminar,moveable chairs,moveable tables,1,chalkboard,
hamilton,411,24,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,413,22,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,503,54,classroom,fixed chairs,fixed tablets,0,chalkboard,
hamilton,507,25,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,509,24,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,511,28,classroom,moveable chairs,moveable tablets,0,chalkboard,
hamilton,516,54,classroom,fixed chairs,fixed tablets,0,chalkboard,
hamilton,517,86,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
hamilton,602,86,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
hamilton,603,54,lecture hall,fixed chairs,fixed tablets,0,chalkboard,
hamilton,607,24,seminar,moveable chairs,moveable tables,0,chalkboard,
